,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
63,AATGF,ATI AIRTEST TECHS INC,otc,us,,OS,True,USD,,BBG000DPPB70,BBG001S77XD7,2024-02-26T06:00:12.924Z
64,AATRL,AMG CAP TR II 5.15% CONV,otc,us,,PFD,True,USD,,,,2023-10-11T21:28:07.559Z
65,AATV,ADAPTIVE AD SYSTEMS INC,otc,us,,CS,True,USD,,BBG000DQDZ96,BBG001SGH8Q7,2023-05-01T05:00:22.505Z
66,AAU,Almaden Minerals Ltd.,stocks,us,XASE,CS,True,usd,0001015647,BBG000DGFSY4,BBG001S7VVD4,2024-03-05T00:00:00Z
67,AAUCF,ALLIED GOLD CORP,otc,us,,CS,True,USD,,BBG01K0WWT59,BBG01J3PPZ58,2023-11-03T10:51:34.818Z
68,AAUGF,AERO ENERGY LTD,otc,us,,OS,True,USD,,BBG00ZNSRJ77,BBG001SF6B93,2024-02-13T09:45:13.436Z
69,AAUKF,ANGLO AMER PLC ORD.,otc,us,,OS,True,USD,,,,2024-01-17T18:21:31.229Z
70,AAVMY,ABN AMR BK N V UNSP/ADR,otc,us,,ADRC,True,USD,,BBG00PXGLFG8,BBG00PXGLG67,2022-08-15T05:00:49.252Z
71,AAVVF,ADVANTAGE ENERGY LTD,otc,us,,OS,True,USD,,BBG000C5QZ62,BBG001SDWVG7,2022-08-15T05:01:10.752Z
72,AAVXF,ABIVAX SA ORD,otc,us,,OS,True,USD,,,,2023-06-12T06:44:12.258Z
73,AAWH,ASCEND WELLNESS HOLDNGS A,otc,us,,OS,True,USD,,BBG00P4VKXR7,BBG010JWLP17,2023-11-14T09:45:12.751Z
74,AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000G6GXC5,BBG001T2V2D8,2024-03-05T00:00:00Z
75,AAXT,AAMAXAN TRANSPORT GRP INC,otc,us,,CS,True,USD,,BBG000BSVKZ8,BBG001SFRD87,2021-04-08T05:00:10.436Z
76,AAYYY,AUSTRALIAN AGRCL UNSP/ADR,otc,us,,ADRC,True,USD,,BBG002CND6S3,BBG002CND7J1,2023-05-04T05:00:33.376Z
77,AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,BBG001S5N9S0,2024-03-05T00:00:00Z
78,ABAKF,ABRDN ASIA-PAC INCOME FD,otc,us,,OS,True,USD,,,,2024-03-01T22:35:09.751Z
79,ABANF,AUTOMATIC BANK SERVICES,otc,us,,OS,True,USD,,,,2021-09-29T08:45:24.326Z
80,ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,True,usd,0001576873,BBG004M1KJN5,BBG004M1KJP3,2024-03-05T00:00:00Z
81,ABAUF,A2B AUSTRALIA LTD,otc,us,,OS,True,USD,,,,2023-11-08T07:42:04.665Z
82,ABBAF,ABRDN ASIAN INCOME FUND,otc,us,,OS,True,USD,,,,2022-10-27T16:04:44.953Z
83,ABBB,AUBURN BANCORP INC,otc,us,,CS,True,USD,,BBG000BMSFK2,BBG001SPRY52,2024-01-09T09:45:13.404Z
84,ABBNY,ABB LTD SPONS ADR,otc,us,,ADRC,True,USD,,BBG000DK5Q25,BBG001SDDMX9,2023-06-30T05:00:38.266Z
85,ABBRF,ABRASILVER RESOURCE CORP,otc,us,,OS,True,USD,,BBG00GBV2HN8,BBG001S60949,2023-10-11T21:28:17.659Z
86,ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,BBG0025Y4RZ3,2024-03-05T00:00:00Z
87,ABBY,ABBY INC,otc,us,,CS,True,USD,,BBG001M8FVR1,BBG001V10SY1,2023-10-11T21:28:04.559Z
88,ABCAF,ATHABASCA MINERALS INC,otc,us,,OS,True,USD,,BBG005K4ZL84,BBG001SQHLR5,2024-03-05T09:45:12.081Z
89,ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2024-03-05T00:00:00Z
90,ABCCF,ABC ARBITRAGE SA ORD,otc,us,,OS,True,USD,,,,2021-09-28T00:10:09.075Z
91,ABCE,ABCO ENERGY INC,otc,us,,CS,True,USD,,BBG000M1SPF0,BBG001SK7PJ9,2022-09-28T21:16:48.383Z
92,ABCFF,ABACUS MINING & EXPL ORD,otc,us,,OS,True,USD,,BBG000JR8L77,BBG001S5XSV3,2023-05-10T05:00:38.805Z
93,ABCGF,ABACUS GROUP,otc,us,,OS,True,USD,,,,2023-09-19T08:45:12.258Z
94,ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2024-03-05T00:00:00Z
95,ABCP,AMBASE CORP,otc,us,,CS,True,USD,,BBG000CY8Z05,BBG001S5Z4M4,2023-05-01T05:00:22.905Z
96,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stocks,us,XNAS,ETF,True,usd,,BBG01KMFQRF2,BBG01KMFQS88,2024-03-05T00:00:00Z
97,ABCZF,ABCAM PLC ORD,otc,us,,OS,True,USD,,,,2023-06-22T08:45:14.978Z
98,ABDBY,ALM BRAND AS ADR,otc,us,,ADRC,True,USD,,BBG00S028022,BBG00S0280T3,2023-11-15T06:00:18.851Z
99,ABDDF,AB DYNAMICS PLC,otc,us,,OS,True,USD,,,,2022-10-11T17:08:00.758Z
